,Strategy,Dataset,n_instances,l_attributes,k_neighbours,fit_time,accuracy,recall_macro,recall_micro,precision_macro,precision_micro
0,Brute Force,D0,625,6,1,0.003341754,0.336,0.243227778,0.336,0.351211664,0.336
1,Brute Force,D0,625,6,2,0.002673546,0.336,0.243227778,0.336,0.24571899,0.336
2,Brute Force,D0,625,6,3,0.002030849,0.3344,0.242066667,0.3344,0.231590478,0.3344
3,Brute Force,D0,625,6,4,0.0020051,0.3392,0.245538889,0.3392,0.236104582,0.3392
4,Brute Force,D0,625,6,5,0.002006054,0.3376,0.244383333,0.3376,0.232009783,0.3376
5,Brute Force,D0,625,6,6,0.003008048,0.344,0.249005556,0.344,0.345733926,0.344
6,Brute Force,D0,625,6,7,0.001683235,0.3552,0.257094444,0.3552,0.350346908,0.3552
7,Brute Force,D0,625,6,8,0.002339125,0.3632,0.262877778,0.3632,0.245985614,0.3632
8,Brute Force,D0,625,6,9,0.002352158,0.3648,0.264027778,0.3648,0.247436931,0.3648
9,Brute Force,D0,625,6,10,0.001355807,0.36,0.26055,0.36,0.247025009,0.36
10,Brute Force,D0,625,6,11,0.00201869,0.3616,0.261711111,0.3616,0.246216416,0.3616
11,Brute Force,D0,625,6,12,0.002339443,0.3664,0.265177778,0.3664,0.249037705,0.3664
12,Brute Force,D0,625,6,13,0.002006133,0.3664,0.265177778,0.3664,0.249279159,0.3664
13,Brute Force,D0,625,6,14,0.001676798,0.3696,0.267488889,0.3696,0.252092401,0.3696
14,Brute Force,D0,625,6,15,0.002025604,0.3632,0.262844444,0.3632,0.139841998,0.3632
15,Brute Force,D0,625,6,16,0.002005577,0.3664,0.265161111,0.3664,0.252254816,0.3664
16,Brute Force,D0,625,6,17,0.002005974,0.3632,0.26285,0.3632,0.249562407,0.3632
17,Brute Force,D0,625,6,18,0.002005816,0.3664,0.265161111,0.3664,0.252254816,0.3664
18,Brute Force,D0,625,6,19,0.002005895,0.3536,0.255911111,0.3536,0.132939683,0.3536
19,Brute Force,D0,625,6,20,0.002340078,0.3648,0.264,0.3648,0.140321671,0.3648
20,Brute Force,D0,625,6,21,0.00203681,0.3616,0.261688889,0.3616,0.13857369,0.3616
21,Brute Force,D0,625,6,22,0.001021783,0.3632,0.262844444,0.3632,0.139733333,0.3632
22,Brute Force,D0,625,6,23,0.00200661,0.3632,0.262844444,0.3632,0.139685584,0.3632
23,Brute Force,D0,625,6,24,0.002028545,0.3632,0.262844444,0.3632,0.139733333,0.3632
24,Brute Force,D0,625,6,25,0.002351125,0.3712,0.268622222,0.3712,0.144959911,0.3712
25,Brute Force,D0,625,6,26,0.002004782,0.368,0.266311111,0.368,0.142821635,0.368
26,Brute Force,D0,625,6,27,0.00234135,0.3696,0.267466667,0.3696,0.143830204,0.3696
27,Brute Force,D0,625,6,28,0.002021313,0.368,0.266311111,0.368,0.142821635,0.368
28,Brute Force,D0,625,6,29,0.002351602,0.3696,0.267466667,0.3696,0.143830204,0.3696
29,Brute Force,D0,625,6,30,0.002338966,0.368,0.266311111,0.368,0.142821635,0.368
30,Brute Force,D0,625,6,31,0.002338012,0.3664,0.265155556,0.3664,0.141689746,0.3664
31,Brute Force,D0,625,6,32,0.002016862,0.3648,0.264,0.3648,0.139416184,0.3648
32,Brute Force,D0,625,6,33,0.001689672,0.3568,0.258227778,0.3568,0.242982218,0.3568
33,Brute Force,D0,625,6,34,0.002339681,0.3552,0.257066667,0.3552,0.13058895,0.3552
34,Brute Force,D0,625,6,35,0.001684745,0.36,0.260566667,0.36,0.242356937,0.36
35,Brute Force,D0,625,6,36,0.00135986,0.3632,0.262872222,0.3632,0.246592018,0.3632
36,Brute Force,D0,625,6,37,0.001671791,0.3488,0.252477778,0.3488,0.236721193,0.3488
37,Brute Force,D0,625,6,38,0.002351602,0.3392,0.245538889,0.3392,0.230798831,0.3392
38,Brute Force,D0,625,6,39,0.002673546,0.3392,0.245544444,0.3392,0.230088905,0.3392
39,Brute Force,D0,625,6,40,0.002673785,0.3424,0.24785,0.3424,0.233116029,0.3424
40,Brute Force,D0,625,6,41,0.002005259,0.3408,0.2467,0.3408,0.231239318,0.3408
41,Brute Force,D0,625,6,42,0.00168705,0.3424,0.24785,0.3424,0.233159009,0.3424
42,Brute Force,D0,625,6,43,0.003008763,0.3424,0.247855556,0.3424,0.232370866,0.3424
43,Brute Force,D0,625,6,44,0.002017975,0.344,0.249011111,0.344,0.233417407,0.344
44,Brute Force,D0,625,6,45,0.002340158,0.344,0.249011111,0.344,0.233374428,0.344
45,Brute Force,D0,625,6,46,0.002687375,0.344,0.249011111,0.344,0.233417407,0.344
46,Brute Force,D0,625,6,47,0.0020051,0.3344,0.242077778,0.3344,0.226440285,0.3344
47,Brute Force,D0,625,6,48,0.002342224,0.3408,0.2467,0.3408,0.231001192,0.3408
48,Brute Force,D0,625,6,49,0.002366622,0.3328,0.240916667,0.3328,0.226181886,0.3328
49,Brute Force,D0,625,6,50,0.002005895,0.3344,0.242072222,0.3344,0.227088108,0.3344
50,Brute Force,D0,625,6,51,0.002341112,0.336,0.243227778,0.336,0.227978903,0.336
51,Brute Force,D0,625,6,52,0.001671871,0.3376,0.244388889,0.3376,0.228237302,0.3376
52,Brute Force,D0,625,6,53,0.002016465,0.3344,0.242072222,0.3344,0.227088108,0.3344
53,Brute Force,D0,625,6,54,0.00200518,0.3408,0.2467,0.3408,0.230732348,0.3408
54,Brute Force,D0,625,6,55,0.001672029,0.3376,0.244372222,0.3376,0.230502888,0.3376
55,Brute Force,D0,625,6,56,0.002016624,0.3408,0.246688889,0.3408,0.232029508,0.3408
56,Brute Force,D0,625,6,57,0.002005339,0.3552,0.257088889,0.3552,0.24235487,0.3552
57,Brute Force,D0,625,6,58,0.001683156,0.3536,0.255933333,0.3536,0.241366432,0.3536
58,Brute Force,D0,625,6,59,0.002029101,0.3552,0.257083333,0.3552,0.242840869,0.3552
59,Brute Force,D0,625,6,60,0.001671632,0.3504,0.2536,0.3504,0.130628571,0.3504
60,Brute Force,D0,625,6,61,0.00199453,0.352,0.254761111,0.352,0.242341392,0.352
61,Brute Force,D0,625,6,62,0.002350728,0.352,0.254761111,0.352,0.242576791,0.352
62,Brute Force,D0,625,6,63,0.0020051,0.3504,0.253605556,0.3504,0.241395394,0.3504
63,Brute Force,D0,625,6,64,0.002023061,0.352,0.254761111,0.352,0.242576791,0.352
64,Brute Force,D0,625,6,65,0.002038399,0.3472,0.251294444,0.3472,0.238975941,0.3472
65,Brute Force,D0,625,6,66,0.001348257,0.3488,0.25245,0.3488,0.24019536,0.3488
66,Brute Force,D0,625,6,67,0.001992941,0.3456,0.250133333,0.3456,0.127263121,0.3456
67,Brute Force,D0,625,6,68,0.002684673,0.3472,0.251288889,0.3472,0.12848254,0.3472
68,Brute Force,D0,625,6,69,0.002043327,0.3376,0.244355556,0.3376,0.121717059,0.3376
69,Brute Force,D0,625,6,70,0.00201877,0.3376,0.244355556,0.3376,0.121717059,0.3376
70,Brute Force,D0,625,6,71,0.002005418,0.3376,0.244355556,0.3376,0.121717059,0.3376
71,Brute Force,D0,625,6,72,0.001671791,0.3264,0.236266667,0.3264,0.113975652,0.3264
72,Brute Force,D0,625,6,73,0.00269715,0.3264,0.236266667,0.3264,0.113975652,0.3264
73,Brute Force,D0,625,6,74,0.002363205,0.3264,0.236266667,0.3264,0.113975652,0.3264
74,Brute Force,D0,625,6,75,0.002340237,0.328,0.237422222,0.328,0.115257335,0.328
75,Brute Force,D0,625,6,76,0.002350171,0.328,0.237422222,0.328,0.115257335,0.328
76,Brute Force,D0,625,6,77,0.002362887,0.328,0.237422222,0.328,0.115257335,0.328
77,Brute Force,D0,625,6,78,0.002036015,0.328,0.237422222,0.328,0.115257335,0.328
78,Brute Force,D0,625,6,79,0.002005339,0.328,0.237422222,0.328,0.115257335,0.328
79,Brute Force,D0,625,6,80,0.002006054,0.328,0.237422222,0.328,0.115257335,0.328
80,Brute Force,D0,625,6,81,0.002027591,0.328,0.237422222,0.328,0.115257335,0.328
81,Brute Force,D0,625,6,82,0.001695395,0.328,0.237422222,0.328,0.115257335,0.328
82,Brute Force,D0,625,6,83,0.002020915,0.3296,0.238577778,0.3296,0.11651597,0.3296
83,Brute Force,D0,625,6,84,0.002339443,0.328,0.237422222,0.328,0.115257335,0.328
84,Brute Force,D0,625,6,85,0.002358437,0.3296,0.238577778,0.3296,0.11651597,0.3296
85,Brute Force,D0,625,6,86,0.002004941,0.328,0.237422222,0.328,0.115257335,0.328
86,Brute Force,D0,625,6,87,0.002005816,0.3312,0.239733333,0.3312,0.117410576,0.3312
0,Brute Force,D1,143,39,1,0.002339522,0.601398601,0.514385614,0.601398601,0.461072261,0.601398601
1,Brute Force,D1,143,39,2,0.001001755,0.636363636,0.473441943,0.636363636,0.391608392,0.636363636
2,Brute Force,D1,143,39,3,0.002005498,0.629370629,0.468646738,0.629370629,0.38777744,0.629370629
3,Brute Force,D1,143,39,4,0.001336734,0.636363636,0.473441943,0.636363636,0.391608392,0.636363636
4,Brute Force,D1,143,39,5,0.00133721,0.636363636,0.473441943,0.636363636,0.391608392,0.636363636
5,Brute Force,D1,143,39,6,0.001003345,0.636363636,0.473441943,0.636363636,0.391608392,0.636363636
6,Brute Force,D1,143,39,7,0.0019931,0.636363636,0.481556905,0.636363636,0.397916769,0.636363636
7,Brute Force,D1,143,39,8,0.001671473,0.713286713,0.509959271,0.713286713,0.425497579,0.713286713
8,Brute Force,D1,143,39,9,0.001003186,0.713286713,0.509959271,0.713286713,0.425497579,0.713286713
9,Brute Force,D1,143,39,10,0.001015027,0.734265734,0.524344886,0.734265734,0.456543457,0.734265734
10,Brute Force,D1,143,39,11,0.001335939,0.734265734,0.524344886,0.734265734,0.456543457,0.734265734
11,Brute Force,D1,143,39,12,0.00200518,0.741258741,0.529140091,0.741258741,0.474255977,0.741258741
12,Brute Force,D1,143,39,13,0.00135231,0.734265734,0.532459848,0.734265734,0.458741259,0.734265734
13,Brute Force,D1,143,39,14,0.001671235,0.734265734,0.516229924,0.734265734,0.454545455,0.734265734
14,Brute Force,D1,143,39,15,0.001002789,0.734265734,0.524344886,0.734265734,0.456543457,0.734265734
15,Brute Force,D1,143,39,16,0.001670996,0.734265734,0.524344886,0.734265734,0.456543457,0.734265734
16,Brute Force,D1,143,39,17,0.001001358,0.734265734,0.524344886,0.734265734,0.456543457,0.734265734
17,Brute Force,D1,143,39,18,0.001337687,0.741258741,0.529140091,0.741258741,0.474255977,0.741258741
18,Brute Force,D1,143,39,19,0.001002868,0.741258741,0.529140091,0.741258741,0.474255977,0.741258741
19,Brute Force,D1,143,39,20,0.001002312,0.734265734,0.5,0.734265734,0.367132867,0.734265734
20,Brute Force,D1,143,39,21,0.004012505,0.727272727,0.503319757,0.727272727,0.423776224,0.727272727
21,Brute Force,D1,143,39,22,0.00168252,0.734265734,0.5,0.734265734,0.367132867,0.734265734
22,Brute Force,D1,143,39,23,0.001682123,0.734265734,0.5,0.734265734,0.367132867,0.734265734
23,Brute Force,D1,143,39,24,0.001671791,0.734265734,0.5,0.734265734,0.367132867,0.734265734
24,Brute Force,D1,143,39,25,0.001671632,0.734265734,0.5,0.734265734,0.367132867,0.734265734
25,Brute Force,D1,143,39,26,0.001324654,0.734265734,0.5,0.734265734,0.367132867,0.734265734
